"Species","PW","PH","AXG","HL","HW","HD","SNT","ED","HDW","HDL","FLW","FLL"
"aequalis Kyaiktiyo","0.834526944242305","0.913985943074239","0.839657551923288","0.732130312693024","0.756993795457557","0.840786874306132","0.689262542516883","0.544850973815646","0.464455561320471","0.986887569892458","1.14734782511864","0.697980525810563"
"aequalis Kou Thi Nar Youn","0.76151729409962","1.15835699856655","1.01279085719717","0.878157136281782","0.937851652474042","1.03220365671767","0.930284531459563","0.894136724592225","1.0524508285377","0.737759544284492","1.35471244831969","0.74310863682071"
"chanhanakwaensis","0.971699865460779","1.06882077305007","1.02487403078918","0.798113873922254","0.992860678513314","0.881167456434935","0.930423120587684","0.803385508357458","1.55561418895459","1.02898811960488","1.50339920375461","0.962863462360451"
"taungwineensis","0.915139875991888","1.5143520778687","1.26508649021972","0.751423907841445","0.90178824661643","1.04724184768241","0.975785440291539","0.825115162654182","0.576394776596635","1.77129851606651","0.821084998891249","0.852323794804691"
"maelanoi","0.929082560471675","1.22228612354901","1.23770306912469","0.931556209809204","1.05018247619693","1.1062781467466","1.0765411675637","0.960566512578509","0.763507720140332","0.73257246328459","1.38293524500731","0.816695075110811"
"sinyineensis","0.583888684362233","0.173613409887905","0.947356425785191","0.921011591567717","0.581474386493623","0.675974003223993","0.902934467712168","1.5099385067804","0.823989179554317","0.738072184282062","0.497311678461873","0.782019235922383"
