"Species","SVL","HW","SNL","ForearmL","X3FDW","FemurL","TibiaL","X3TDW","X3ToeWeb"
"conjuncta",1.43136376415899,0.984901121093535,0.522261277405475,0.878572058010683,0.184236310747794,1.1179349814613,1.06266800187699,-0.0301700804024715,0.231870125270748
"conjuncta",1.43775056282039,0.892377635142422,0.521343016367389,0.867293291893868,0.174898122242642,1.08296445941524,1.04544571443167,0.0531605003833397,0.26108582427265
"conjuncta",1.47712125471966,0.916354008905181,0.515682500930744,0.859012930026085,0.175325871251217,1.07838808874768,1.0370030940048,-0.0117776420944528,0.339901825124078
"conjuncta",1.43136376415899,0.980048618299122,0.535226254569843,0.872497910298489,0.184236310747794,1.08897128552599,1.05469907220572,-0.0301700804024715,0.180717602823367
"conjuncta",1.44715803134222,0.961470056798225,0.51999045896444,0.853466813264902,0.191106611978006,1.07035652457766,1.04180661691228,0.00614172287366084,0.194899019708461
"conjuncta",1.47567118832443,0.965312182079466,0.502527022455442,0.823982420149608,0.149417301120897,1.08321241783075,1.04201315387261,-0.0566679272601391,0.220500521898074
"conjuncta",1.47712125471966,0.921317428436731,0.528647478095112,0.853183386365361,0.147297147650973,1.05702503713215,1.02924762930804,0.067403603953172,0.272955035493465
"conjuncta",1.45331834004704,0.987105003716331,0.532069738650914,0.895443324775741,0.119951669469103,1.11107484305367,1.10372490451433,0.00245757919501399,-0.158591681447268
"conjuncta",1.4345689040342,0.98113096274432,0.54735456336376,0.875960181408916,0.0334220148746027,1.08968470293059,1.09420600461972,-0.0320868992465015,-0.24237328622782
"conjuncta",1.50242711998443,1.00397269481216,0.54983271476403,0.90781252508971,0.138325966814491,1.12203059894959,1.0999886887738,-0.0269116959244124,-0.114497702731376
"meridionalis",1.57680189582891,1.11133518668636,0.602327779830956,0.967623747448898,0.357674750935036,1.24442532151397,1.2058446915999,0.126097592761102,0.0229131700610196
"meridionalis",1.53415307418506,1.10120753271184,0.618900418228644,0.943005187436606,0.419085494980318,1.24220962830162,1.19122492156807,0.196041294971503,0.0832134924987802
"meridionalis",1.58714949825434,1.1154319062423,0.553009670947386,0.96326797449099,0.407333023003869,1.25592851888073,1.19410226033671,0.239459731107494,0.121457381762381
"meridionalis",1.53567380342575,1.07531020556306,0.580711874122407,0.95475199410688,0.369722895332713,1.23861560024275,1.19717128065823,0.181269993740244,0.0274964783574883
"meridionalis",1.57564961475522,1.10428636481936,0.523665084814465,0.986891350657837,0.377136337890163,1.23354316215237,1.19657473774392,0.222850999311705,0.0590526657102234
