"Species","SVL","PW","PH","AXG","HL","HW","HD","SNT","ED","HDW","HDL","FLW","FLL"
"aequalis Kyaiktiyo",1.93074532831111,0.973966946425407,0.911027272472543,1.45291134480092,1.37514880062053,1.20440644189667,0.956991970821086,0.965712212484408,0.650720513994894,0.96633303768796,1.59600094318878,0.701795382465544,1.50495192768345
"aequalis Kyaiktiyo",1.96222723135009,0.903244058218376,0.895504720239384,1.50581575137424,1.34483124853967,1.16980260612775,0.940122765023027,0.958990071922149,0.702043565599318,1.00281501736079,1.5923855672062,0.605918370096134,1.49454718901087
"aequalis Kyaiktiyo",1.86528168499561,0.948522176401897,0.912868175267651,1.48732194493858,1.32415522384569,1.18604689707876,0.930057162869286,0.93266731086587,0.729726460242128,0.948690503364977,1.64771589277735,0.644900398207709,1.4434147649697
"aequalis Kyaiktiyo",1.94586232448962,0.915999987714194,0.877272220521696,1.49792375673157,1.33999899390697,1.17012622768298,0.913685031263494,0.951038980435297,0.689847021181962,0.905362209613052,1.61040038962879,0.705674752833768,1.50596957530618
"aequalis Kyaiktiyo",1.93746773964338,0.953058905120767,0.875615287295499,1.50567965345243,1.36644275266444,1.17775334861709,0.955957820145579,0.947754426127615,0.705496323953884,0.909261121229865,1.62353051305704,0.685293717302221,1.48000990117052
"aequalis Kyaiktiyo",1.84689354331663,0.929308972236782,0.905131737203976,1.50837643203355,1.33014760750343,1.17822560647855,0.920873956637027,0.957336654640538,0.696407240705321,0.858975452242983,1.61286355744999,0.570804076277068,1.49852227472812
"aequalis Kyaiktiyo",1.86652362553284,0.887885685096526,0.882110592467686,1.51761531567207,1.31493782711762,1.14577321113062,0.930031231489217,0.960725939518174,0.670248344746523,0.846784575347528,1.59645910433784,0.59354941290987,1.4791101332619
"aequalis Kyaiktiyo",1.91434315711944,0.925288281702089,0.887723599562722,1.52083507914733,1.32698340409453,1.17149496866577,0.963547838810514,0.99969594788029,0.6754515201246,0.8902857705807,1.59399300978821,0.672352345212992,1.50085928951424
"aequalis Kyaiktiyo",1.75595104100413,0.946378939341736,0.887679316403866,1.50922210529882,1.37329478260657,1.19502330207277,0.961945243809085,0.980300055343698,0.693798352549952,0.916855307103549,1.63700684078804,0.711505710132815,1.53144715272711
"aequalis Kyaiktiyo",1.87256414309065,0.901491529543328,0.888350755216747,1.50431632135129,1.34709647393957,1.16205071579112,0.924952443612596,0.926124834049316,0.693013662917435,0.878361335572039,1.5674364725449,0.572047592077373,1.47889934898452
