"Species","SVL","PW","PH","AXG","HL","HW","HD","SNT","ED","HDW","HDL","FLW","FLL"
"aequalis Kyaiktiyo",1.93074532831111,0.998064325625711,0.937419069652926,1.47715687284131,1.39628942632557,1.22626501299168,0.981270108605108,0.985615010075534,0.666453355953174,0.979744422257443,1.62449781098178,0.734925619670325,1.52510646136379
"aequalis Kyaiktiyo",1.96222723135009,0.92734143741868,0.921896517419767,1.53006127941463,1.36597187424471,1.19166117722276,0.96440090280705,0.978892869513275,0.717776407557599,1.01622640193027,1.6208824349992,0.639048607300915,1.51470172269121
"aequalis Kyaiktiyo",1.86528168499561,0.972619555602202,0.939259972448035,1.51156747297898,1.34529584955074,1.20790546817377,0.954335300653308,0.952570108456996,0.745459302200408,0.962101887934461,1.67621276057034,0.67803063541249,1.46356929865004
"aequalis Kyaiktiyo",1.94586232448962,0.940097366914498,0.903664017702079,1.52216928477197,1.36113961961201,1.19198479877799,0.937963169047517,0.970941778026423,0.705579863140242,0.918773594182536,1.63889725742178,0.738804990038549,1.52612410898652
"aequalis Kyaiktiyo",1.93746773964338,0.977156284321072,0.902007084475882,1.52992518149283,1.38758337836948,1.19961191971209,0.980235957929601,0.967657223718741,0.721229165912165,0.922672505799349,1.65202738085003,0.718423954507002,1.50016443485086
"aequalis Kyaiktiyo",1.84689354331663,0.953406351437087,0.931523534384359,1.53262196007395,1.35128823320847,1.20008417757356,0.945152094421049,0.977239452231664,0.712140082663601,0.872386836812467,1.64136042524298,0.603934313481849,1.51867680840846
"aequalis Kyaiktiyo",1.86652362553284,0.91198306429683,0.908502389648069,1.54186084371247,1.33607845282266,1.16763178222562,0.954309369273239,0.9806287371093,0.685981186704803,0.860195959917012,1.62495597213084,0.626679650114651,1.49926466694225
"aequalis Kyaiktiyo",1.91434315711944,0.949385660902393,0.914115396743105,1.54508060718773,1.34812402979958,1.19335353976077,0.987825976594536,1.01959874547142,0.69118436208288,0.903697155150183,1.6224898775812,0.705482582417773,1.52101382319458
"aequalis Kyaiktiyo",1.75595104100413,0.97047631854204,0.91407111358425,1.53346763333922,1.39443540831161,1.21688187316778,0.986223381593107,1.00020285293482,0.709531194508233,0.930266691673033,1.66550370858103,0.744635947337597,1.55160168640745
"aequalis Kyaiktiyo",1.87256414309065,0.925588908743633,0.91474255239713,1.52856184939168,1.36823709964462,1.18390928688613,0.949230581396618,0.946027631640442,0.708746504875715,0.891772720141523,1.5959333403379,0.605177829282154,1.49905388266486
